城市,方式,楼盘名称,户型,城市地区,区内地段,面积,朝向,标签,价格,楼层类型,楼层数,封面图,品牌,详情链接
东莞,整租,光大山湖城,3室2厅2卫,大岭山镇,大岭山镇,96.25㎡,北,精装 双卫生间 随时看房,2300元/月,低楼层,33层,"https://image1.ljcdn.com/110000-inspection/pc1_L3pZWvZRo.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2067468329454403584.html
东莞,整租,翡翠山湖,3室2厅2卫,凤岗镇,凤岗镇,120.00㎡,南,精装 双卫生间 随时看房,2400元/月,高楼层,11层,"https://image1.ljcdn.com/110000-inspection/pc1_G1hmlPMng.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2067481796940922880.html
东莞,独栋,源悦里青年公寓酒店 东莞国贸店 旗峰公园地铁口 城市白领港湾 配备健身房  共享厨房,1室1厅1卫,,,35.00㎡,,新上 独栋公寓 月租 拎包入住 近地铁 精装 有阳台 开放厨房 押一付一,2599元/月,,层,https://image1.ljcdn.com/wanjia/0bca72567bc162aac9f0e6f89865f393-1755769369294/dbe27a1e6f96ee75584a9a26091a2e0f.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/83535.html
东莞,独栋,诗莱德酒店公寓 诗莱德行政公寓店 温馨雅致一室一厅,1室1厅1卫,,,58.00㎡,,独栋公寓 月租 拎包入住 精装 有阳台 开放厨房,4200元/月,,层,https://image1.ljcdn.com/wanjia/24ce84e911dbe82a5bee1f4dedf95ee2-1686302586311/758c4fc7309428c92e1e398e7d9df5d9.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/62903.html
东莞,整租,华润置地中心,4室2厅2卫,南城区,石竹,143.00㎡,南,近地铁 精装 双卫生间,10000元/月,中楼层,30层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,链家,https://dg.lianjia.com/zufang/DG2067469398494412800.html
东莞,独栋,卓为城公寓 卓为城店 卓为城繁华商圈大单间。工作生活均适宜 开间,1室0厅1卫,,,28.00㎡,,独栋公寓 月租 精装 有阳台 开放厨房 押一付一,850元/月,,层,https://image1.ljcdn.com/wanjia/0dc684872c47bd011ef0df180d8827a7-1763451359884/5e5a52b5550eef48b0934bd3cac564f0.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/63072.html
东莞,整租,融创松湖澜园,4室2厅2卫,大岭山镇,大岭山镇,115.30㎡,南,精装 双卫生间,2500元/月,中楼层,26层,"https://image1.ljcdn.com/110000-inspection/pc1_ggXXWvocl.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2067549897833316352.html
东莞,独栋,碧家国际社区 广华公馆 阳光大单间 开间,1室0厅1卫,,,25.00㎡,,独栋公寓 月租 拎包入住 精装 押一付一,900元/月,,层,https://image1.ljcdn.com/wanjia/1152aa6fa4c42959cbfa26b018c6e3b8-1750843772341/f3ccdd27d2000e3f9255a7e3e2c48800.jpg.250x182.jpg,,https://dg.lianjia.com/apartment/94525.html
东莞,整租,恒大滨江左岸,3室2厅1卫,麻涌镇,麻涌镇,89.00㎡,东南,精装 随时看房,2000元/月,高楼层,32层,"https://image1.ljcdn.com/110000-inspection/pc1_GtHvkNOUQ.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2067829567359287296.html
东莞,整租,星河传说迪纳公寓,2室2厅1卫,东城区,石井,77.00㎡,东,精装,2800元/月,低楼层,18层,"https://image1.ljcdn.com/110000-inspection/01ee7526-0413-4c12-a5c6-baac3a7a1088.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://dg.lianjia.com/zufang/DG2067896088836177920.html
